5ff1e1eb0a720f0523000575;5ff1e1eacfcf6c399c274ae6;4011;;;;;ITEM NOT FOUND;;26.00;;26.00;;False;;;;;;;;1;;;;True;;5;;;;4011;;True;26.00;5
5ff1e1bb0a720f052300056b;5ff1e194b6a9d73a3a9f1052;4011;;;;;ITEM NOT FOUND;;1;;1;;;;;;;;;;1;;;;;;1;;;;;;;;
5ff1e1bb0a720f052300056b;5ff1e194b6a9d73a3a9f1052;028400642255;;;;;DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ;;10.00;;10.00;;True;USER_FLAGGED;;;;;;;2;;Action not allowed for user and CPG;5332f5fbe4b03c9a25efd0ba;True;;1;DORITOS SPICY SWEET CHILI SINGLE SERVE;5332f5fbe4b03c9a25efd0ba;;028400642255;DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ;True;10.00;1
5ff1e1f10a720f052300057a;5ff1e1f1cfcf6c399c274b0b;;;;;;;;;;;;False;;;;;;;;1;;;;True;;;;;;4011;;True;26.00;3
5ff1e1ee0a7214ada100056f;5ff1e1eacfcf6c399c274ae6;4011;;;;;ITEM NOT FOUND;;28.00;;28.00;;False;;;;;;;;1;;;;True;;4;;;;4011;;True;28.00;4
5ff1e1d20a7214ada1000561;5ff1e194b6a9d73a3a9f1052;4011;;;;;ITEM NOT FOUND;;1;;1;;;;;;;;;;1;;;;;;1;;;;;;;;
5ff1e1d20a7214ada1000561;5ff1e194b6a9d73a3a9f1052;1234;;;;;;;2.56;;2.56;;True;USER_FLAGGED;;;;;;;2;;;;True;;3;;;;1234;;True;2.56;3
5ff1e1e40a7214ada1000566;5ff1e1e4cfcf6c399c274ac3;4011;;;;;ITEM NOT FOUND;;3.25;;3.25;;False;;;028400642255;DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ;;;;1;;Action not allowed for user and CPG;5332f5fbe4b03c9a25efd0ba;True;;1;DORITOS SPICY SWEET CHILI SINGLE SERVE;5332f5fbe4b03c9a25efd0ba;;4011;;;;
5ff1e1cd0a720f052300056f;5ff1e194b6a9d73a3a9f1052;;MISSION;;TACO BELL TACO SHELLS;;MSSN TORTLLA;2.23;2.23;;2.23;;;;;;;;;MSSN TORTLLA;1009;;;;;;1;;;;;;;;
5ff1e1a40a720f0523000569;5ff1e194b6a9d73a3a9f1052;046000832517;BRAND;;;;Old El Paso Mild Chopped Green Chiles, 4.5 Oz;;10.00;;10.00;;;;;;;;;;0;;Action not allowed for user and CPG;5332f5f3e4b03c9a25efd0ae;;;1;OLD EL PASO BEANS & PEPPERS;5332f5f3e4b03c9a25efd0ae;;;;;;
5ff1e1ed0a7214ada100056e;5ff1e1eacfcf6c399c274ae6;4011;;;;;ITEM NOT FOUND;;20.00;;20.00;;False;;;;;;;;1;;;;True;;5;;;;4011;;True;20.00;5
5ff1e1eb0a7214ada100056b;5ff1e1eacfcf6c399c274ae6;4011;;;;;ITEM NOT FOUND;;20.00;;20.00;;False;;;;;;;;1;;;;True;;3;;;;4011;;True;20.00;3
5ff1e1c50a720f052300056c;5ff1e194b6a9d73a3a9f1052;4011;;;;;ITEM NOT FOUND;;1;;1;;;;;;;;;;1;;;;;;1;;;;;;;;
5ff1e1a10a720f0523000568;5ff1e194b6a9d73a3a9f1052;013562300631;;;;;Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz;50.00;50.00;013562300631;50.00;;True;POINTS_GREATER_THAN_THRESHOLD;;;;;1;;1;;Action not allowed for user and CPG;5332f5f3e4b03c9a25efd0ae;;;5;ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE;5332f5f3e4b03c9a25efd0ae;;;;;;
